road_address,building_name,unit_est
"강원특별자치도 동해시 구미2길 3-2, 1층 (구미동)",동해~애,1.0
강원특별자치도 동해시 대진항길 23 (대진동),일마레팬션,16.0
"강원특별자치도 동해시 대진항길 47-1, 서프팩토리 (대진동)",PIER471,13.0
"강원특별자치도 동해시 대진항길 49-1, 3층 (대진동)",골든뷰,2.0
"강원특별자치도 동해시 대진항길 5, 바다담 1~4층 (대진동)",동해 바다담,11.0
"강원특별자치도 동해시 동굴로 123-5, 6층 (천곡동)",유브모텔(생활),2.0
강원특별자치도 동해시 망상3길 3 (망상동),하늘바다펜션,6.0
"강원특별자치도 동해시 망상3길 5, 태정펜션 (망상동)",태정펜션,4.0
강원특별자치도 동해시 어달1길 1 (어달동),도요펜션,8.0
"강원특별자치도 동해시 일출로 109-1, 2,3층 (묵호진동)",창넓은펜션,5.0
"강원특별자치도 동해시 일출로 111, 2,3층 (묵호진동)",동해월드펜션,7.0
"강원특별자치도 동해시 일출로 123-1, 2~3층 (묵호진동)",보라네민박,4.0
"강원특별자치도 동해시 일출로 131-1, 4, 5층 (묵호진동)",스테이용궁131,3.0
"강원특별자치도 동해시 일출로 161, 다동 2층 (묵호진동)",우유펜션,8.0
"강원특별자치도 동해시 일출로 211, 2,3층 (묵호진동)",동쪽하늘펜션앤게스트하우스,5.0
"강원특별자치도 동해시 일출로 257, 2, 3층 (어달동)",어달펜션,6.0
"강원특별자치도 동해시 일출로 299, 하늘과파도소리펜션 1~2층 (어달동)",봉스테이,5.0
"강원특별자치도 동해시 일출로 301, 2,3층 (어달동)",어달오션펜션,10.0
"강원특별자치도 동해시 일출로 305, 2~3층 (어달동)",어달을 담다,10.0
강원특별자치도 동해시 일출로 309 (어달동),어쩌다어달,9.0
강원특별자치도 동해시 일출로 309-1 (어달동),신비호텔,5.0
강원특별자치도 동해시 일출로 377 (대진동),동해를 그리다,9.0
강원특별자치도 동해시 일출로 387 (대진동),아카이브대진,3.0
강원특별자치도 동해시 일출로 393-1 (대진동),썬샤인펜션,4.0
"강원특별자치도 동해시 일출로 401, 1층 (대진동)",해봄,1.0
"강원특별자치도 동해시 일출로 405, 2~3층 (대진동)",일출로405,4.0
"강원특별자치도 동해시 일출로 462, 바다에 머무르다 2~3층 (대진동)",바다에 머무르다,6.0
강원특별자치도 동해시 일출로 462-2 (대진동),방파제파크,11.0
강원특별자치도 동해시 일출로 97 (묵호진동),등대오름길펜션,8.0
"강원특별자치도 동해시 임항로 99, 2,3층 (발한동)",해뜨는 바다 하우스,10.0
강원특별자치도 동해시 추암택지길 11-4 (추암동),아름드리,6.0
"강원특별자치도 동해시 추암택지길 17, 3층 (추암동)",해암정펜션,3.0
강원특별자치도 동해시 추암택지길 19 (추암동),추암팬션,9.0
강원특별자치도 동해시 추암택지길 27 (추암동),해돋이 펜션,10.0
강원특별자치도 동해시 추암택지길 3-2 (추암동),우리펜션,10.0
"강원특별자치도 동해시 추암택지길 3-4, 2~5층 (추암동)",휴모텔펜션,14.0
강원특별자치도 동해시 추암택지길 3-5 (추암동),"정다운펜션,슈퍼",12.0
