road_address,building_name,status,confirmed_units
"강원특별자치도 홍천군 서면 상귀량길 193, 11동 1호",(주)반스힐리조트 주11동1호,대장조회실패(정보없음),
"강원특별자치도 홍천군 서면 상귀량길 193, 11동 2호",(주)반스힐리조트 주11동2호,대장조회실패(정보없음),
"강원특별자치도 홍천군 서면 상귀량길 193, 1동 2호",반스힐리조트,대장조회실패(정보없음),
"강원특별자치도 홍천군 서면 상귀량길 193, 1동1호,3동,9동,10동1호, 10동2호, 12동, 13동2호, 13동3호",반스힐리조트 1동1호 외,대장조회실패(정보없음),
"강원특별자치도 홍천군 서면 상귀량길 193, 2동 1호",(주)반스힐리조트 주2동1호,대장조회실패(정보없음),
"강원특별자치도 홍천군 서면 상귀량길 193, 2동 2호",(주)반스힐리조트 주2동2호,대장조회실패(정보없음),
"강원특별자치도 홍천군 서면 상귀량길 193, 4동 1호",반스힐풀빌라리조트,대장조회실패(정보없음),
"강원특별자치도 홍천군 서면 상귀량길 193, 4동 2호",(주)반스힐리조트 주4동2호,대장조회실패(정보없음),
"강원특별자치도 홍천군 서면 상귀량길 193, 5동 1호",(주)반스힐리조트 주5동1호,대장조회실패(정보없음),
"강원특별자치도 홍천군 서면 상귀량길 193, 6동",(주)반스힐리조트 주6동,대장조회실패(정보없음),
"강원특별자치도 홍천군 서면 상귀량길 193, 주5동 2호",(주)반스힐리조트 주5동2호,대장조회실패(정보없음),
"강원특별자치도 홍천군 서면 상귀량길 193, 주7동",(주)반스힐리조트 주7동,대장조회실패(정보없음),
"강원특별자치도 홍천군 서면 상귀량길 193, 주8동",(주)반스힐리조트 주8동,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 설밀길 190-11,토리아이풀빌라골프텔,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 설밀길 190-13,토리아이독채패밀리룸,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 설밀길 190-15,토리아이풀빌라스파1동,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 설밀길 190-17,토리아이패밀리룸,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 설밀길 190-19,토리아이풀빌라스파2동,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 설밀길 190-3,토리아이키즈풀빌라,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 설밀길 190-5,토리아이풀빌라키즈,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 설밀길 190-7,토리아이프라이빗빌라,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 설밀길 190-9,토리아이풀빌라,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 안굴업길 39-9,디데이펜션&캠핑,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 오도치길 139-65,하몽하몽키즈풀빌라,제외확정,0.0
강원특별자치도 홍천군 서면 오도치길 268,약돌배테마관광마을,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 오도치길 80,비요르크,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 팔봉강변길 132-10,푸름다음,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 팔봉강변길 40-8,가족펜션미알레,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 팔봉산로 812,어라운드리버,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 팔봉산로 815,소노리베,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 팔봉산로 820,소노리베뷰,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 팔봉산로 923-13,북성,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 한서로 1466,다인펜션,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 한서로 1468-55,유리트리트,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 한서로 1774-47,더하다,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 한서로 1891-10,봄날펜션,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 한서로 2019-2,엘페로3,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 한서로 2055-3,테라썬B,제외확정,15.0
강원특별자치도 홍천군 서면 한서로 2055-6,테라썬E,제외확정,15.0
강원특별자치도 홍천군 서면 한서로 2055-8,테라썬F,제외확정,15.0
